sweep,size,algorithm,probability_numerator,probability_denominator,probability,seed,request_id,status,message_correct,sender_note,received_bits,source_bits,redundancy_bits,reported_flipped_bits,detected_units,corrected_bits,uncorrectable_units,overhead_ratio
main,8,crc32-iso-hdlc,1,200,0.005,19,main-100,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100,0.01,0,main-101,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100,0.01,1,main-102,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100,0.01,2,main-103,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,3,main-104,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,4,main-105,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,5,main-106,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,6,main-107,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,7,main-108,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100,0.01,8,main-109,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,9,main-110,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,10,main-111,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,11,main-112,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,12,main-113,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,13,main-114,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100,0.01,14,main-115,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,15,main-116,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100,0.01,16,main-117,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,17,main-118,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100,0.01,18,main-119,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,100,0.01,19,main-120,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,50,0.02,0,main-121,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,1,main-122,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,50,0.02,2,main-123,detected_uncorrectable,,,96,64,32,4,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,3,main-124,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,4,main-125,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,5,main-126,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,6,main-127,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,7,main-128,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,8,main-129,detected_uncorrectable,,,96,64,32,5,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,9,main-130,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,10,main-131,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,11,main-132,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,12,main-133,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,13,main-134,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,50,0.02,14,main-135,detected_uncorrectable,,,96,64,32,5,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,15,main-136,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,50,0.02,16,main-137,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,17,main-138,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,18,main-139,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,50,0.02,19,main-140,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,0,main-141,detected_uncorrectable,,,96,64,32,6,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,1,main-142,detected_uncorrectable,,,96,64,32,4,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,2,main-143,detected_uncorrectable,,,96,64,32,5,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,3,main-144,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,4,main-145,detected_uncorrectable,,,96,64,32,6,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,5,main-146,detected_uncorrectable,,,96,64,32,4,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,6,main-147,detected_uncorrectable,,,96,64,32,5,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,7,main-148,detected_uncorrectable,,,96,64,32,4,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,8,main-149,detected_uncorrectable,,,96,64,32,6,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,9,main-150,detected_uncorrectable,,,96,64,32,4,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,10,main-151,detected_uncorrectable,,,96,64,32,6,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,11,main-152,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,12,main-153,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,13,main-154,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,14,main-155,detected_uncorrectable,,,96,64,32,9,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,15,main-156,detected_uncorrectable,,,96,64,32,5,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,16,main-157,detected_uncorrectable,,,96,64,32,4,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,17,main-158,detected_uncorrectable,,,96,64,32,9,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,18,main-159,detected_uncorrectable,,,96,64,32,6,1,0,1,0.5
main,8,crc32-iso-hdlc,1,20,0.05,19,main-160,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,0,main-161,detected_uncorrectable,,,96,64,32,9,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,1,main-162,detected_uncorrectable,,,96,64,32,10,1,0,1,0.5
